id,name,nickname,description,code,alphaVal,numVal,acro,cat,subcat,hits180,canConnect,hasFullTwist,isDoubleSalto,isAerial,receivesCreditOnce
90,Front tuck 1/2,,Salto fwd tucked with 1/2 twist (180 deg),4.201,B,2,1,Forward Saltos,,0,1,0,0,0,0
91,Front tuck 1/1,,Salto fwd tucked with 1/1 twist (360 deg),4.201,B,2,1,Forward Saltos,,0,1,1,0,0,0
92,Front pike 1/2,,Salto fwd piked with 1/2 twist (180 deg),4.201,B,2,1,Forward Saltos,,0,1,0,0,0,0
93,Double front tuck,,Double salto fwd tucked,4.501,E,5,1,Forward Saltos,,0,1,0,1,0,0
94,Double front 1/2 out,,Double salto fwd tucked with 1/2 twist (180 deg),4.601,F,6,1,Forward Saltos,,0,1,0,1,0,0
95,Double front pike,Dowell,Double salto fwd piked,4.601,F,6,1,Forward Saltos,,0,1,0,1,0,0
96,Front layout,,Salto fwd stretched,4.202,B,2,1,Forward Saltos,,0,1,0,0,0,0
97,Front 1/2 twist,,Salto fwd stretched  with 1/2 twist (180 deg),4.202,B,2,1,Forward Saltos,,0,1,0,0,0,0
98,Front 1/1 twist,,Salto fwd stretched with 1/1 twist (360 deg),4.302,C,3,1,Forward Saltos,,0,1,1,0,0,0
99,Front 3/2 twist,Rudi,Salto fwd stretched 1 1/2 twist (540 deg),4.302,C,3,1,Forward Saltos,,0,1,1,0,0,0
100,Front 2/1 twist,,Salto fwd stretched with 2/1 twist (720 deg),4.402,D,4,1,Forward Saltos,,0,1,1,0,0,0
101,Front 5/2 twist,Randi,Salto fwd stretched with 2 1/2 twist (900 deg),4.502,E,5,1,Forward Saltos,,0,1,1,0,0,0
102,Front aerial,,Free (aerial) walkover fwd,4.103,A,1,1,Forward Saltos,,0,1,0,0,1,0
103,Side aerial,,Free (aerial) cartwheel,4.104,A,1,1,Forward Saltos,,0,1,0,0,1,0
104,Aerial round-off,,Free (aerial) round-off,4.104,A,1,1,Forward Saltos,,0,1,0,0,1,0
105,Side salto,,From take-off fwd from one or both legs Ð salto swd tucked or piked,4.105,A,1,1,Forward Saltos,,0,1,0,0,0,0
106,Arabian tucked,,Arabian salto tucked (take-off bwd with 1/2 twist [180 deg]; salto fwd) Ð landing optional,4.205,B,2,1,Forward Saltos,,0,1,0,0,0,0
107,Arabian piked,,Arabian salto piked (take-off bwd with 1/2 twist [180 deg]; salto fwd) Ð landing optional,4.205,B,2,1,Forward Saltos,,0,1,0,0,0,0
108,Double Arabian tucked,,Arabian double salto tucked,4.505,E,5,1,Forward Saltos,,0,1,0,1,0,0
109,Double Arabian 1/2 out,,Arabian double salto tucked with 1/2 twist (180 deg),4.505,E,5,1,Forward Saltos,,0,1,1,1,0,0
110,Double Arabian piked,Dos Santos I,Arabian double salto piked,4.605,F,6,1,Forward Saltos,,0,1,0,1,0,0
111,Double Arabian laid-out,Dos Santos II,Arabian double salto stretched,4.805,H,8,1,Forward Saltos,,0,1,0,1,0,0
112,Back tuck,,Salto bwd tucked,5.101,A,1,1,Backward Saltos,,0,1,0,0,0,0
113,Back pike,,Salto bwd piked,5.101,A,1,1,Backward Saltos,,0,1,0,0,0,0
114,Back layout,,Salto bwd stretched,5.101,A,1,1,Backward Saltos,,0,1,0,0,0,0
115,1/2 twist,,Salto bwd stretched with 1/2 twist (180 deg),5.201,B,2,1,Backward Saltos,,0,1,0,0,0,0
